time	V(n003)
2.536308465525508e+00	1.268154e+00
2.546074090525508e+00	1.273037e+00
2.555839715525508e+00	1.277920e+00
2.565605340525508e+00	1.282803e+00
2.575370965525508e+00	1.287686e+00
2.585136590525508e+00	1.292568e+00
2.594902215525508e+00	1.297451e+00
2.604667840525508e+00	1.302334e+00
2.614433465525508e+00	1.307217e+00
2.624199090525508e+00	1.312100e+00
2.633964715525508e+00	1.316982e+00
2.643730340525508e+00	1.321865e+00
2.653495965525508e+00	1.326748e+00
2.663261590525508e+00	1.331631e+00
2.673027215525508e+00	1.336514e+00
2.682792840525508e+00	1.341396e+00
2.692558465525508e+00	1.346279e+00
2.702324090525508e+00	1.351162e+00
2.712089715525508e+00	1.356045e+00
2.721855340525508e+00	1.360928e+00
2.731620965525508e+00	1.365811e+00
2.741386590525508e+00	1.370693e+00
2.751152215525508e+00	1.375576e+00
2.760917840525508e+00	1.380459e+00
2.770683465525508e+00	1.385342e+00
2.780449090525508e+00	1.390225e+00
2.790214715525508e+00	1.395107e+00
2.799980340525508e+00	1.399990e+00
2.809745965525508e+00	1.404873e+00
2.819511590525508e+00	1.409756e+00
2.829277215525508e+00	1.414639e+00
2.839042840525508e+00	1.419521e+00
2.848808465525508e+00	1.424404e+00
2.858574090525508e+00	1.429287e+00
2.868339715525508e+00	1.434170e+00
2.878105340525508e+00	1.439053e+00
2.887870965525508e+00	1.443936e+00
2.897636590525508e+00	1.448818e+00
2.907402215525508e+00	1.453701e+00
2.917167840525508e+00	1.458584e+00
2.926933465525508e+00	1.463467e+00
2.936699090525508e+00	1.468350e+00
2.946464715525508e+00	1.473232e+00
2.956230340525508e+00	1.478115e+00
2.965995965525508e+00	1.482998e+00
2.975761590525508e+00	1.487881e+00
2.985527215525508e+00	1.492764e+00
2.995292840525508e+00	1.497646e+00
3.005058465525508e+00	1.502529e+00
3.014824090525508e+00	1.507412e+00
3.024589715525508e+00	1.512295e+00
3.034355340525508e+00	1.517178e+00
3.044120965525508e+00	1.522061e+00
3.053886590525508e+00	1.526943e+00
3.063652215525508e+00	1.531826e+00
3.073417840525508e+00	1.536709e+00
3.083183465525508e+00	1.541592e+00
3.092949090525508e+00	1.546475e+00
3.102714715525508e+00	1.551357e+00
3.112480340525508e+00	1.556240e+00
3.122245965525508e+00	1.561123e+00
3.132011590525508e+00	1.566006e+00
3.141777215525508e+00	1.570889e+00
3.151542840525508e+00	1.575771e+00
3.161308465525508e+00	1.580654e+00
3.171074090525508e+00	1.585537e+00
3.180839715525508e+00	1.590420e+00
3.190605340525508e+00	1.595303e+00
3.200370965525508e+00	1.600186e+00
3.210136590525508e+00	1.605068e+00
3.219902215525508e+00	1.609951e+00
3.229667840525508e+00	1.614834e+00
3.239433465525508e+00	1.619717e+00
3.249199090525508e+00	1.624600e+00
3.258964715525508e+00	1.629482e+00
3.268730340525508e+00	1.634365e+00
3.278495965525508e+00	1.639248e+00
3.288261590525508e+00	1.644131e+00
3.298027215525508e+00	1.649014e+00
3.307792840525508e+00	1.653896e+00
3.317558465525508e+00	1.658779e+00
3.327324090525508e+00	1.663662e+00
3.337089715525508e+00	1.668545e+00
3.346855340525508e+00	1.673428e+00
3.356620965525508e+00	1.678311e+00
3.366386590525508e+00	1.683193e+00
3.376152215525508e+00	1.688076e+00
3.385917840525508e+00	1.692959e+00
3.395683465525508e+00	1.697842e+00
3.405449090525508e+00	1.702725e+00
3.415214715525508e+00	1.707607e+00
3.424980340525508e+00	1.712490e+00
3.434745965525508e+00	1.717373e+00
3.444511590525508e+00	1.722256e+00
3.454277215525508e+00	1.727139e+00
3.464042840525508e+00	1.732021e+00
3.473808465525508e+00	1.736904e+00
3.483574090525508e+00	1.741787e+00
3.493339715525508e+00	1.746670e+00
3.503105340525508e+00	1.751553e+00
3.512870965525508e+00	1.756436e+00
3.522636590525508e+00	1.761318e+00
3.532402215525508e+00	1.766201e+00
3.542167840525508e+00	1.771084e+00
3.551933465525508e+00	1.775967e+00
3.561699090525508e+00	1.780850e+00
3.571464715525508e+00	1.785732e+00
3.581230340525508e+00	1.790615e+00
3.590995965525508e+00	1.795498e+00
3.600761590525508e+00	1.800381e+00
3.610527215525508e+00	1.805264e+00
3.620292840525508e+00	1.810146e+00
3.630058465525508e+00	1.815029e+00
3.639824090525508e+00	1.819912e+00
3.649589715525508e+00	1.824795e+00
3.659355340525508e+00	1.829678e+00
3.669120965525508e+00	1.834561e+00
3.678886590525508e+00	1.839443e+00
3.688652215525508e+00	1.844326e+00
3.698417840525508e+00	1.849209e+00
3.708183465525508e+00	1.854092e+00
3.717949090525508e+00	1.858975e+00
3.727714715525508e+00	1.863857e+00
3.737480340525508e+00	1.868740e+00
3.747245965525508e+00	1.873623e+00
3.757011590525508e+00	1.878506e+00
3.766777215525508e+00	1.883389e+00
3.776542840525508e+00	1.888271e+00
3.786308465525508e+00	1.893154e+00
3.796074090525508e+00	1.898037e+00
3.805839715525508e+00	1.902920e+00
3.815605340525508e+00	1.907803e+00
3.825370965525508e+00	1.912686e+00
3.835136590525508e+00	1.917568e+00
3.844902215525508e+00	1.922451e+00
3.854667840525508e+00	1.927334e+00
3.864433465525508e+00	1.932217e+00
3.874199090525508e+00	1.937100e+00
3.883964715525508e+00	1.941982e+00
3.893730340525508e+00	1.946865e+00
3.903495965525508e+00	1.951748e+00
3.913261590525508e+00	1.956631e+00
3.923027215525508e+00	1.961514e+00
3.932792840525508e+00	1.966396e+00
3.942558465525508e+00	1.971279e+00
3.952324090525508e+00	1.976162e+00
3.962089715525508e+00	1.981045e+00
3.971855340525508e+00	1.985928e+00
3.981620965525508e+00	1.990811e+00
3.991386590525508e+00	1.995693e+00
4.001152215525508e+00	2.000576e+00
4.010917840525508e+00	2.005459e+00
4.020683465525508e+00	2.010342e+00
4.030449090525508e+00	2.015224e+00
4.040214715525508e+00	2.020107e+00
4.049980340525508e+00	2.024990e+00
4.059745965525508e+00	2.029873e+00
4.069511590525508e+00	2.034756e+00
4.079277215525508e+00	2.039639e+00
4.089042840525508e+00	2.044521e+00
4.098808465525508e+00	2.049404e+00
4.108574090525508e+00	2.054287e+00
4.118339715525508e+00	2.059170e+00
4.128105340525508e+00	2.064053e+00
4.137870965525508e+00	2.068935e+00
4.147636590525508e+00	2.073818e+00
4.157402215525508e+00	2.078701e+00
4.167167840525508e+00	2.083584e+00
4.176933465525508e+00	2.088467e+00
4.186699090525508e+00	2.093349e+00
4.196464715525508e+00	2.098232e+00
4.206230340525508e+00	2.103115e+00
4.215995965525508e+00	2.107998e+00
4.225761590525508e+00	2.112881e+00
4.235527215525508e+00	2.117764e+00
4.245292840525508e+00	2.122646e+00
4.255058465525508e+00	2.127529e+00
4.264824090525508e+00	2.132412e+00
4.274589715525508e+00	2.137295e+00
4.284355340525508e+00	2.142178e+00
4.294120965525508e+00	2.147060e+00
4.303886590525508e+00	2.151943e+00
4.313652215525508e+00	2.156826e+00
4.323417840525508e+00	2.161709e+00
4.333183465525508e+00	2.166592e+00
4.342949090525508e+00	2.171474e+00
4.352714715525508e+00	2.176357e+00
4.362480340525508e+00	2.181240e+00
4.372245965525508e+00	2.186123e+00
4.382011590525508e+00	2.191006e+00
4.391777215525508e+00	2.195889e+00
4.401542840525508e+00	2.200771e+00
4.411308465525508e+00	2.205654e+00
4.421074090525508e+00	2.210537e+00
4.430839715525508e+00	2.215420e+00
4.440605340525508e+00	2.220303e+00
4.450370965525508e+00	2.225185e+00
4.460136590525508e+00	2.230068e+00
4.469902215525508e+00	2.234951e+00
4.479667840525508e+00	2.239834e+00
4.489433465525508e+00	2.244717e+00
4.499199090525508e+00	2.249599e+00
4.508964715525508e+00	2.254482e+00
4.518730340525508e+00	2.259365e+00
4.528495965525508e+00	2.264248e+00
4.538261590525508e+00	2.269131e+00
4.548027215525508e+00	2.274014e+00
4.557792840525508e+00	2.278896e+00
4.567558465525508e+00	2.283779e+00
4.577324090525508e+00	2.288662e+00
4.587089715525508e+00	2.293545e+00
4.596855340525508e+00	2.298428e+00
4.606620965525508e+00	2.303310e+00
4.616386590525508e+00	2.308193e+00
4.626152215525508e+00	2.313076e+00
4.635917840525508e+00	2.317959e+00
4.645683465525508e+00	2.322842e+00
4.655449090525508e+00	2.327724e+00
4.665214715525508e+00	2.332607e+00
4.674980340525508e+00	2.337490e+00
4.684745965525508e+00	2.342373e+00
4.694511590525508e+00	2.347256e+00
4.704277215525508e+00	2.352139e+00
4.714042840525508e+00	2.357021e+00
4.723808465525508e+00	2.361904e+00
4.733574090525508e+00	2.366787e+00
4.743339715525508e+00	2.371670e+00
4.753105340525508e+00	2.376553e+00
4.762870965525508e+00	2.381435e+00
4.772636590525508e+00	2.386318e+00
4.782402215525508e+00	2.391201e+00
4.792167840525508e+00	2.396084e+00
4.801933465525508e+00	2.400967e+00
4.811699090525508e+00	2.405849e+00
4.821464715525508e+00	2.410732e+00
4.831230340525508e+00	2.415615e+00
4.840995965525508e+00	2.420498e+00
4.850761590525508e+00	2.425381e+00
4.860527215525508e+00	2.430264e+00
4.870292840525508e+00	2.435146e+00
4.880058465525508e+00	2.440029e+00
4.889824090525508e+00	2.444912e+00
4.899589715525508e+00	2.449795e+00
4.909355340525508e+00	2.454678e+00
4.919120965525508e+00	2.459560e+00
4.928886590525508e+00	2.464443e+00
4.938652215525508e+00	2.469326e+00
4.948417840525508e+00	2.474209e+00
4.958183465525508e+00	2.479092e+00
4.967949090525508e+00	2.483974e+00
4.977714715525508e+00	2.488857e+00
4.987480340525508e+00	2.493740e+00
4.997245965525508e+00	2.498623e+00
4.997246965525508e+00	2.498623e+00
4.997262965525508e+00	2.498631e+00
4.997294965525508e+00	2.498647e+00
4.997358965525508e+00	2.498679e+00
4.997486965525508e+00	2.498744e+00
4.997742965525508e+00	2.498872e+00
4.998254965525508e+00	2.499127e+00
4.999278965525508e+00	2.499640e+00
4.999534965525508e+00	2.499768e+00
5.000046965525508e+00	2.500023e+00
5.000144747553925e+00	2.500072e+00
5.000340311610760e+00	2.500170e+00
5.000731439724429e+00	2.500366e+00
5.000732439724429e+00	2.500366e+00
5.000748439724429e+00	2.500374e+00
5.000749439724429e+00	2.500375e+00
5.000765439724429e+00	2.500383e+00
5.000766439724429e+00	2.500383e+00
5.000782439724428e+00	2.500391e+00
5.000783439724429e+00	2.500392e+00
5.000799439724428e+00	2.500400e+00
5.000800439724428e+00	2.500400e+00
5.000816439724428e+00	2.500408e+00
5.000817439724428e+00	2.500409e+00
5.000833439724428e+00	2.500417e+00
5.000834439724428e+00	2.500417e+00
5.000850439724427e+00	2.500425e+00
5.000851439724427e+00	2.500426e+00
5.000867439724427e+00	2.500434e+00
5.000868439724427e+00	2.500434e+00
5.000884439724427e+00	2.500442e+00
5.000885439724427e+00	2.500443e+00
5.000901439724426e+00	2.500451e+00
5.000902439724427e+00	2.500451e+00
5.000918439724426e+00	2.500459e+00
5.000919439724426e+00	2.500460e+00
5.000935439724426e+00	2.500468e+00
5.000936439724426e+00	2.500468e+00
5.000952439724426e+00	2.500476e+00
5.000953439724426e+00	2.500477e+00
5.000969439724425e+00	2.500485e+00
5.000970439724425e+00	2.500485e+00
5.000986439724425e+00	2.500493e+00
5.000987439724425e+00	2.500494e+00
5.001003439724425e+00	2.500502e+00
5.001004439724425e+00	2.500502e+00
5.001020439724424e+00	2.500510e+00
5.001021439724425e+00	2.500511e+00
5.001037439724424e+00	2.500519e+00
5.001038439724424e+00	2.500519e+00
5.001054439724424e+00	2.500527e+00
5.001055439724424e+00	2.500528e+00
5.001071439724424e+00	2.500536e+00
5.001072439724424e+00	2.500536e+00
5.001088439724423e+00	2.500544e+00
5.001089439724423e+00	2.500545e+00
5.001105439724423e+00	2.500553e+00
5.001106439724423e+00	2.500553e+00
5.001122439724423e+00	2.500561e+00
5.001123439724423e+00	2.500562e+00
5.001139439724422e+00	2.500570e+00
5.001140439724423e+00	2.500570e+00
5.001156439724422e+00	2.500578e+00
5.001157439724422e+00	2.500579e+00
5.001173439724422e+00	2.500587e+00
5.001174439724422e+00	2.500587e+00
5.001190439724422e+00	2.500595e+00
5.001191439724422e+00	2.500596e+00
5.001207439724421e+00	2.500604e+00
5.001208439724421e+00	2.500604e+00
5.001224439724421e+00	2.500612e+00
5.001225439724421e+00	2.500613e+00
5.001241439724421e+00	2.500621e+00
5.001242439724421e+00	2.500621e+00
5.001258439724420e+00	2.500629e+00
5.001259439724421e+00	2.500630e+00
5.001275439724420e+00	2.500638e+00
5.001276439724420e+00	2.500638e+00
5.001292439724420e+00	2.500646e+00
5.001293439724420e+00	2.500647e+00
5.001309439724420e+00	2.500655e+00
5.001310439724420e+00	2.500655e+00
5.001326439724419e+00	2.500663e+00
5.001327439724419e+00	2.500664e+00
5.001343439724419e+00	2.500672e+00
5.001344439724419e+00	2.500672e+00
5.001358610469897e+00	2.500679e+00
5.001359610469898e+00	2.500680e+00
5.001375610469897e+00	2.500688e+00
5.001376610469897e+00	2.500688e+00
5.001392610469897e+00	2.500696e+00
5.001393610469897e+00	2.500697e+00
5.001409610469897e+00	2.500705e+00
5.001410610469897e+00	2.500705e+00
5.001426610469896e+00	2.500713e+00
5.001427610469896e+00	2.500714e+00
5.001443610469896e+00	2.500722e+00
5.001459905931005e+00	2.500730e+00
5.001475434402005e+00	2.500738e+00
5.001495434165999e+00	2.500748e+00
5.001514811619529e+00	2.500757e+00
5.001553566526589e+00	2.500777e+00
5.001596875348348e+00	2.500798e+00
5.001669445823014e+00	2.500835e+00
5.001814586772347e+00	2.500907e+00
5.002104868671012e+00	2.501052e+00
5.002623096016750e+00	2.501312e+00
5.002624096016750e+00	2.501312e+00
5.002640096016750e+00	2.501320e+00
5.002641096016750e+00	2.501321e+00
5.002657096016749e+00	2.501328e+00
5.002658096016749e+00	2.501329e+00
5.002674096016749e+00	2.501337e+00
5.002675096016749e+00	2.501338e+00
5.002684354671055e+00	2.501342e+00
5.002685354671055e+00	2.501343e+00
5.002690859684424e+00	2.501345e+00
5.002695909892769e+00	2.501348e+00
5.002706010309460e+00	2.501353e+00
5.002726211142841e+00	2.501363e+00
5.002766612809603e+00	2.501383e+00
5.002847416143129e+00	2.501424e+00
5.002848416143129e+00	2.501424e+00
5.002864416143129e+00	2.501432e+00
5.002865416143129e+00	2.501433e+00
5.002881416143128e+00	2.501441e+00
5.002882416143128e+00	2.501441e+00
5.002898416143128e+00	2.501449e+00
5.002899416143128e+00	2.501450e+00
5.002915416143128e+00	2.501458e+00
5.002916416143128e+00	2.501458e+00
5.002932416143127e+00	2.501466e+00
5.002933416143128e+00	2.501467e+00
5.002949416143127e+00	2.501475e+00
5.002950416143127e+00	2.501475e+00
5.002966416143127e+00	2.501483e+00
5.002967416143127e+00	2.501484e+00
5.002983416143127e+00	2.501492e+00
5.002984416143127e+00	2.501492e+00
5.003000416143126e+00	2.501500e+00
5.003001416143126e+00	2.501501e+00
5.003017416143126e+00	2.501509e+00
5.003018416143126e+00	2.501509e+00
5.003034416143126e+00	2.501517e+00
5.003060794049717e+00	2.501530e+00
5.003088850221173e+00	2.501544e+00
5.003139941075188e+00	2.501570e+00
5.003242122783216e+00	2.501621e+00
5.003446486199272e+00	2.501723e+00
5.003855213031385e+00	2.501928e+00
5.004672666695611e+00	2.502336e+00
5.006307574024063e+00	2.503154e+00
5.009577388680968e+00	2.504789e+00
5.016117017994777e+00	2.508059e+00
5.025882642994777e+00	2.512941e+00
5.035648267994777e+00	2.517824e+00
5.045413892994777e+00	2.522707e+00
5.055179517994777e+00	2.527590e+00
5.064945142994777e+00	2.532473e+00
5.074710767994777e+00	2.537355e+00
5.084476392994777e+00	2.542238e+00
5.094242017994777e+00	2.547121e+00
5.104007642994777e+00	2.552004e+00
5.113773267994777e+00	2.556887e+00
5.123538892994777e+00	2.561769e+00
5.133304517994777e+00	2.566652e+00
5.143070142994777e+00	2.571535e+00
5.152835767994777e+00	2.576418e+00
5.162601392994777e+00	2.581301e+00
5.172367017994777e+00	2.586184e+00
5.182132642994777e+00	2.591066e+00
5.191898267994777e+00	2.595949e+00
5.201663892994777e+00	2.600832e+00
5.211429517994777e+00	2.605715e+00
5.221195142994777e+00	2.610598e+00
5.230960767994777e+00	2.615480e+00
5.240726392994777e+00	2.620363e+00
5.250492017994777e+00	2.625246e+00
5.260257642994777e+00	2.630129e+00
5.270023267994777e+00	2.635012e+00
5.279788892994777e+00	2.639894e+00
5.289554517994777e+00	2.644777e+00
5.299320142994777e+00	2.649660e+00
5.309085767994777e+00	2.654543e+00
5.318851392994777e+00	2.659426e+00
5.328617017994777e+00	2.664309e+00
5.338382642994777e+00	2.669191e+00
5.348148267994777e+00	2.674074e+00
5.357913892994777e+00	2.678957e+00
5.367679517994777e+00	2.683840e+00
5.377445142994777e+00	2.688723e+00
